elasticity,ductility,type
29.19393,8.44320785,tensil
28.04907,7.2370353,tensil
26.90421,7.71950432,tensil
26.33178,7.47826981,tensil
28.6215,8.68444236,tensil
30.91122,9.40814589,tensil
26.33178,8.20197334,tensil
28.6215,8.20197334,tensil
25.18692,6.99580079,tensil
28.04907,7.47826981,tensil
30.91122,8.92567687,tensil
27.47664,8.20197334,tensil
27.47664,7.2370353,tensil
24.61449,7.2370353,tensil
33.20094,9.6493804,tensil
32.62851,10.61431844,tensil
30.91122,9.40814589,tensil
29.19393,8.44320785,tensil
32.62851,9.16691138,tensil
29.19393,9.16691138,tensil
30.91122,8.20197334,tensil
29.19393,8.92567687,tensil
26.33178,8.68444236,tensil
29.19393,7.96073883,tensil
27.47664,8.20197334,tensil
28.6215,7.2370353,tensil
28.6215,8.20197334,tensil
29.76636,8.44320785,tensil
29.76636,8.20197334,tensil
26.90421,7.71950432,tensil
27.47664,7.47826981,tensil
30.91122,8.20197334,tensil
29.76636,9.89061491,tensil
31.48365,10.13184942,tensil
28.04907,7.47826981,tensil
28.6215,7.71950432,tensil
31.48365,8.44320785,tensil
28.04907,7.47826981,tensil
25.18692,7.2370353,tensil
29.19393,8.20197334,tensil
28.6215,8.44320785,tensil
25.75935,5.54839373,tensil
25.18692,7.71950432,tensil
28.6215,8.44320785,tensil
29.19393,9.16691138,tensil
27.47664,7.2370353,tensil
29.19393,9.16691138,tensil
26.33178,7.71950432,tensil
30.33879,8.92567687,tensil
28.6215,7.96073883,tensil
40.0701,7.71950432,brittle
36.63552,7.71950432,brittle
39.49767,7.47826981,brittle
31.48365,5.54839373,brittle
37.20795,6.75456628,brittle
32.62851,6.75456628,brittle
36.06309,7.96073883,brittle
28.04907,5.78962824,brittle
37.78038,6.99580079,brittle
29.76636,6.51333177,brittle
28.6215,4.8246902,brittle
28.6215,,brittle
33.77337,7.2370353,brittle
34.3458,5.30715922,brittle
34.91823,6.99580079,brittle
32.05608,6.99580079,brittle
38.35281,7.47826981,brittle
32.05608,7.2370353,brittle
33.20094,6.51333177,brittle
35.49066,5.30715922,brittle
32.05608,6.03086275,brittle
33.77337,7.71950432,brittle
34.91823,6.75456628,brittle
36.06309,6.03086275,brittle
34.91823,6.75456628,brittle
36.63552,6.99580079,brittle
37.78038,7.2370353,brittle
38.92524,6.75456628,brittle
38.35281,7.2370353,brittle
34.3458,6.99580079,brittle
32.62851,6.27209726,brittle
31.48365,5.78962824,brittle
31.48365,5.78962824,brittle
33.20094,6.51333177,brittle
34.3458,6.51333177,brittle
30.91122,7.2370353,brittle
34.3458,8.20197334,brittle
38.35281,7.47826981,brittle
36.06309,5.54839373,brittle
32.05608,7.2370353,brittle
31.48365,6.03086275,brittle
31.48365,6.27209726,brittle
34.91823,7.2370353,brittle
33.20094,6.27209726,brittle
28.6215,5.54839373,brittle
32.05608,6.51333177,brittle
32.62851,7.2370353,brittle
32.62851,6.99580079,brittle
35.49066,6.99580079,brittle
29.19393,6.03086275,brittle
32.05608,,brittle
,5.54839373,brittle
32.62851,6.75456628,brittle
36.06309,7.96073883,brittle
33.20094,6.51333177,brittle
40.64253,7.2370353,brittle
36.06309,6.99580079,brittle
37.20795,7.2370353,brittle
43.50468,7.2370353,brittle
28.04907,6.03086275,brittle
41.78739,6.99580079,brittle
38.35281,6.03086275,brittle
41.21496,8.68444236,brittle
37.20795,7.71950432,brittle
36.63552,6.51333177,brittle
38.92524,7.2370353,brittle
32.62851,6.03086275,brittle
33.20094,6.75456628,brittle
33.204,,brittle
36.63552,7.71950432,tensil
36.66,7.71950432,tensil
37.20795,7.2370353,tensil
44.07711,9.16691138,tensil
44.07711,6.27209726,tensil
34.3458,5.30715922,tensil
39.49767,7.71950432,tensil
32.05608,6.75456628,tensil
44.07711,6.75456628,tensil
36.06309,6.51333177,tensil
38.35281,7.96073883,tensil
41.21496,7.71950432,tensil
35.49066,6.75456628,tensil
34.91823,7.2370353,tensil
36.63552,6.75456628,tensil
41.21496,7.2370353,tensil
42.35982,6.75456628,tensil
45.22197,9.16691138,tensil
36.63552,6.75456628,tensil
36.06309,6.75456628,tensil
34.91823,6.27209726,tensil
44.07711,7.2370353,tensil
36.06309,8.20197334,tensil
36.63552,7.47826981,tensil
34.3458,7.2370353,tensil
39.49767,7.47826981,tensil
38.35281,7.47826981,brittle
39.49767,7.47826981,brittle
33.20094,6.51333177,brittle
38.92524,7.71950432,brittle
38.35281,7.96073883,brittle
38.35281,7.2370353,brittle
36.06309,6.03086275,brittle
37.20795,7.2370353,brittle
35.49066,8.20197334,brittle
33.77337,7.2370353,brittle
